Security,CNYUSD CMPN Curncy                                              
Start Date,10/5/2015 0:00
End Date,10/5/2017 0:00
Period,D
Pricing Source,CMPN
,
Date,PX_LAST
10/5/2017,0.15062
10/4/2017,0.15073
10/3/2017,0.15036
10/2/2017,0.15008
9/29/2017,0.15075
9/28/2017,0.1504
9/27/2017,0.15073
9/26/2017,0.15087
9/25/2017,0.15123
9/22/2017,0.15186
9/21/2017,0.15237
9/20/2017,0.15202
9/19/2017,0.15227
9/18/2017,0.15232
9/15/2017,0.15285
9/14/2017,0.15284
9/13/2017,0.15277
9/12/2017,0.15316
9/11/2017,0.15312
9/8/2017,0.15394
9/7/2017,0.15415
9/6/2017,0.15311
9/5/2017,0.15298
9/4/2017,0.15315
9/1/2017,0.15245
8/31/2017,0.1516
8/30/2017,0.1515
8/29/2017,0.15127
8/28/2017,0.1511
8/25/2017,0.15045
8/24/2017,0.15024
8/23/2017,0.15007
8/22/2017,0.15006
8/21/2017,0.15018
8/18/2017,0.15001
8/17/2017,0.14986
8/16/2017,0.14978
8/15/2017,0.14975
8/14/2017,0.14991
8/11/2017,0.15014
8/10/2017,0.15032
8/9/2017,0.14969
8/8/2017,0.14919
8/7/2017,0.14887
8/4/2017,0.14886
8/3/2017,0.14879
8/2/2017,0.14885
8/1/2017,0.14878
7/31/2017,0.14877
7/28/2017,0.14852
7/27/2017,0.14842
7/26/2017,0.14836
7/25/2017,0.14812
7/24/2017,0.14841
7/21/2017,0.14824
7/20/2017,0.14822
7/19/2017,0.14814
7/18/2017,0.14826
7/17/2017,0.14804
7/14/2017,0.14794
7/13/2017,0.14746
7/12/2017,0.14744
7/11/2017,0.14727
7/10/2017,0.14716
7/7/2017,0.14706
7/6/2017,0.14729
7/5/2017,0.14729
7/4/2017,0.14706
7/3/2017,0.14736
6/30/2017,0.1475
6/29/2017,0.14744
6/28/2017,0.14702
6/27/2017,0.14682
6/26/2017,0.14653
6/23/2017,0.14666
6/22/2017,0.14655
6/21/2017,0.1467
6/20/2017,0.14684
6/19/2017,0.14693
6/16/2017,0.1471
6/15/2017,0.14702
6/14/2017,0.14736
6/13/2017,0.14724
6/12/2017,0.14713
6/9/2017,0.14723
6/8/2017,0.14718
6/7/2017,0.14741
6/6/2017,0.14746
6/5/2017,0.14704
6/2/2017,0.14708
6/1/2017,0.14695
5/31/2017,0.14663
5/30/2017,0.14602
5/29/2017,0.1459
5/26/2017,0.14584
5/25/2017,0.14579
5/24/2017,0.14558
5/23/2017,0.14557
5/22/2017,0.14566
5/19/2017,0.14567
5/18/2017,0.14555
5/17/2017,0.1456
5/16/2017,0.14554
5/15/2017,0.14532
5/12/2017,0.14514
5/11/2017,0.14501
5/10/2017,0.14487
5/9/2017,0.14481
5/8/2017,0.14492
5/5/2017,0.1451
5/4/2017,0.14509
5/3/2017,0.1451
5/2/2017,0.14518
5/1/2017,0.14498
4/28/2017,0.14519
4/27/2017,0.14509
4/26/2017,0.14524
4/25/2017,0.14522
4/24/2017,0.14533
4/21/2017,0.14512
4/20/2017,0.14541
4/19/2017,0.14537
4/18/2017,0.14547
4/17/2017,0.1454
4/14/2017,0.14536
4/13/2017,0.14529
4/12/2017,0.14537
4/11/2017,0.14499
4/10/2017,0.14481
4/7/2017,0.14482
4/6/2017,0.14501
4/5/2017,0.14516
4/4/2017,0.1451
4/3/2017,0.14534
3/31/2017,0.14539
3/30/2017,0.14505
3/29/2017,0.14516
3/28/2017,0.14514
3/27/2017,0.14564
3/24/2017,0.14523
3/23/2017,0.14519
3/22/2017,0.14542
3/21/2017,0.14518
3/20/2017,0.14497
3/17/2017,0.14493
3/16/2017,0.14526
3/15/2017,0.14575
3/14/2017,0.14473
3/13/2017,0.14473
3/10/2017,0.145
3/9/2017,0.14462
3/8/2017,0.14467
3/7/2017,0.14503
3/6/2017,0.14507
3/3/2017,0.14495
3/2/2017,0.14516
3/1/2017,0.14546
2/28/2017,0.14566
2/27/2017,0.14559
2/24/2017,0.14564
2/23/2017,0.1456
2/22/2017,0.14547
2/21/2017,0.14527
2/20/2017,0.14559
2/17/2017,0.14555
2/16/2017,0.14575
2/15/2017,0.14592
2/14/2017,0.14568
2/13/2017,0.14529
2/10/2017,0.14536
2/9/2017,0.14528
2/8/2017,0.1454
2/7/2017,0.14528
2/6/2017,0.14602
2/3/2017,0.14625
2/2/2017,0.1463
2/1/2017,0.14561
1/31/2017,0.14565
1/30/2017,0.14506
1/27/2017,0.145
1/26/2017,0.14543
1/25/2017,0.14569
1/24/2017,0.14599
1/23/2017,0.14635
1/20/2017,0.14551
1/19/2017,0.1453
1/18/2017,0.14546
1/17/2017,0.14613
1/16/2017,0.14506
1/13/2017,0.14506
1/12/2017,0.14515
1/11/2017,0.14471
1/10/2017,0.14435
1/9/2017,0.14416
1/6/2017,0.14424
1/5/2017,0.14547
1/4/2017,0.14504
1/3/2017,0.14385
1/2/2017,0.14376
12/30/2016,0.14388
12/29/2016,0.14393
12/28/2016,0.14335
12/27/2016,0.14375
12/26/2016,0.14391
12/23/2016,0.14388
12/22/2016,0.14387
12/21/2016,0.14409
12/20/2016,0.144
12/19/2016,0.14441
12/16/2016,0.14347
12/15/2016,0.14422
12/14/2016,0.1447
12/13/2016,0.14505
12/12/2016,0.14495
12/9/2016,0.14474
12/8/2016,0.14484
12/7/2016,0.14534
12/6/2016,0.14542
12/5/2016,0.14578
12/2/2016,0.14556
12/1/2016,0.14544
11/30/2016,0.14498
11/29/2016,0.14525
11/28/2016,0.14491
11/25/2016,0.14471
11/24/2016,0.14448
11/23/2016,0.14462
11/22/2016,0.14517
11/21/2016,0.14512
11/18/2016,0.14518
11/17/2016,0.14511
11/16/2016,0.14552
11/15/2016,0.1458
11/14/2016,0.14606
11/11/2016,0.14687
11/10/2016,0.14695
11/9/2016,0.14691
11/8/2016,0.14741
11/7/2016,0.14735
11/4/2016,0.14793
11/3/2016,0.14807
11/2/2016,0.14815
11/1/2016,0.14794
10/31/2016,0.14779
10/28/2016,0.14763
10/27/2016,0.1474
10/26/2016,0.14771
10/25/2016,0.14783
10/24/2016,0.14767
10/21/2016,0.14792
10/20/2016,0.14838
10/19/2016,0.14867
10/18/2016,0.14855
10/17/2016,0.14844
10/14/2016,0.14854
10/13/2016,0.14863
10/12/2016,0.1487
10/11/2016,0.1486
10/10/2016,0.14908
10/7/2016,0.14934
10/6/2016,0.14921
10/5/2016,0.14943
10/4/2016,0.14959
10/3/2016,0.14995
9/30/2016,0.15006
9/29/2016,0.14994
9/28/2016,0.14991
9/27/2016,0.14998
9/26/2016,0.15012
9/23/2016,0.15003
9/22/2016,0.15006
9/21/2016,0.15002
9/20/2016,0.14993
9/19/2016,0.14995
9/16/2016,0.14992
9/15/2016,0.14984
9/14/2016,0.14988
9/13/2016,0.14975
9/12/2016,0.1497
9/9/2016,0.14952
9/8/2016,0.15004
9/7/2016,0.15009
9/6/2016,0.14977
9/5/2016,0.14977
9/2/2016,0.14965
9/1/2016,0.14994
8/31/2016,0.14975
8/30/2016,0.1496
8/29/2016,0.14972
8/26/2016,0.14996
8/25/2016,0.15028
8/24/2016,0.15015
8/23/2016,0.15052
8/22/2016,0.15035
8/19/2016,0.1504
8/18/2016,0.15081
8/17/2016,0.1504
8/16/2016,0.15097
8/15/2016,0.15063
8/12/2016,0.15058
8/11/2016,0.15082
8/10/2016,0.15068
8/9/2016,0.15026
8/8/2016,0.15021
8/5/2016,0.15029
8/4/2016,0.15057
8/3/2016,0.15078
8/2/2016,0.15096
8/1/2016,0.15056
7/29/2016,0.15064
7/28/2016,0.15026
7/27/2016,0.14971
7/26/2016,0.14988
7/25/2016,0.14981
7/22/2016,0.14966
7/21/2016,0.14983
7/20/2016,0.14974
7/19/2016,0.14931
7/18/2016,0.14923
7/15/2016,0.14942
7/14/2016,0.14966
7/13/2016,0.14955
7/12/2016,0.14966
7/11/2016,0.14934
7/8/2016,0.14952
7/7/2016,0.14967
7/6/2016,0.14942
7/5/2016,0.14973
7/4/2016,0.14994
7/1/2016,0.15023
6/30/2016,0.15057
6/29/2016,0.15071
6/28/2016,0.15033
6/27/2016,0.15027
6/24/2016,0.15101
6/23/2016,0.15197
6/22/2016,0.15216
6/21/2016,0.15168
6/20/2016,0.15198
6/17/2016,0.15189
6/16/2016,0.15179
6/15/2016,0.15199
6/14/2016,0.15161
6/13/2016,0.15193
6/10/2016,0.15216
6/9/2016,0.15235
6/8/2016,0.15243
6/7/2016,0.15222
6/6/2016,0.15249
6/3/2016,0.15263
6/2/2016,0.15186
6/1/2016,0.15209
5/31/2016,0.15192
5/30/2016,0.15185
5/27/2016,0.15237
5/26/2016,0.15249
5/25/2016,0.15258
5/24/2016,0.15251
5/23/2016,0.15257
5/20/2016,0.15276
5/19/2016,0.1528
5/18/2016,0.15289
5/17/2016,0.15336
5/16/2016,0.1534
5/13/2016,0.15309
5/12/2016,0.15341
5/11/2016,0.15408
5/10/2016,0.15344
5/9/2016,0.15344
5/6/2016,0.15392
5/5/2016,0.15357
5/4/2016,0.15393
5/3/2016,0.15404
5/2/2016,0.15446
4/29/2016,0.1544
4/28/2016,0.15437
4/27/2016,0.15386
4/26/2016,0.15406
4/25/2016,0.15411
4/22/2016,0.15369
4/21/2016,0.15427
4/20/2016,0.15458
4/19/2016,0.15482
4/18/2016,0.1544
4/15/2016,0.15437
4/14/2016,0.15427
4/13/2016,0.15445
4/12/2016,0.15472
4/11/2016,0.15484
4/8/2016,0.15462
4/7/2016,0.15468
4/6/2016,0.15441
4/5/2016,0.15438
4/4/2016,0.15429
4/1/2016,0.15435
3/31/2016,0.15506
3/30/2016,0.15463
3/29/2016,0.15392
3/28/2016,0.1541
3/25/2016,0.15336
3/24/2016,0.15347
3/23/2016,0.15368
3/22/2016,0.15406
3/21/2016,0.15419
3/18/2016,0.15452
3/17/2016,0.15444
3/16/2016,0.15333
3/15/2016,0.15352
3/14/2016,0.15385
3/11/2016,0.15397
3/10/2016,0.15364
3/9/2016,0.15354
3/8/2016,0.15376
3/7/2016,0.15353
3/4/2016,0.15378
3/3/2016,0.15307
3/2/2016,0.15265
3/1/2016,0.15262
2/29/2016,0.15258
2/26/2016,0.15285
2/25/2016,0.15296
2/24/2016,0.15317
2/23/2016,0.15322
2/22/2016,0.15329
2/19/2016,0.15335
2/18/2016,0.15348
2/17/2016,0.15328
2/16/2016,0.15343
2/15/2016,0.15386
2/12/2016,0.15213
2/11/2016,0.15207
2/10/2016,0.1521
2/9/2016,0.15211
2/8/2016,0.15211
2/5/2016,0.15213
2/4/2016,0.1523
2/3/2016,0.15205
2/2/2016,0.15186
2/1/2016,0.15201
1/29/2016,0.15209
1/28/2016,0.15208
1/27/2016,0.15202
1/26/2016,0.15198
1/25/2016,0.15194
1/22/2016,0.15201
1/21/2016,0.15195
1/20/2016,0.15188
1/19/2016,0.15194
1/18/2016,0.15202
1/15/2016,0.15189
1/14/2016,0.15172
1/13/2016,0.15205
1/12/2016,0.15217
1/11/2016,0.15228
1/8/2016,0.15167
1/7/2016,0.15166
1/6/2016,0.15246
1/5/2016,0.15323
1/4/2016,0.15296
1/1/2016,0.15401
12/31/2015,0.154
12/30/2015,0.15408
12/29/2015,0.15421
12/28/2015,0.15412
12/25/2015,0.15473
12/24/2015,0.15433
12/23/2015,0.15435
12/22/2015,0.15441
12/21/2015,0.15431
12/18/2015,0.15426
12/17/2015,0.15419
12/16/2015,0.15444
12/15/2015,0.15455
12/14/2015,0.15487
12/11/2015,0.1549
12/10/2015,0.1553
12/9/2015,0.15554
12/8/2015,0.15583
12/7/2015,0.15603
12/4/2015,0.15623
12/3/2015,0.15657
12/2/2015,0.15632
12/1/2015,0.15637
11/30/2015,0.15632
11/27/2015,0.15634
11/26/2015,0.15651
11/25/2015,0.15656
11/24/2015,0.15652
11/23/2015,0.15659
11/20/2015,0.15653
11/19/2015,0.15669
11/18/2015,0.15662
11/17/2015,0.15675
11/16/2015,0.15695
11/13/2015,0.15689
11/12/2015,0.15701
11/11/2015,0.15701
11/10/2015,0.15717
11/9/2015,0.15715
11/6/2015,0.15746
11/5/2015,0.1576
11/4/2015,0.15784
11/3/2015,0.15779
11/2/2015,0.15785
10/30/2015,0.15833
10/29/2015,0.15737
10/28/2015,0.1572
10/27/2015,0.1574
10/26/2015,0.15735
10/23/2015,0.15739
10/22/2015,0.15733
10/21/2015,0.15748
10/20/2015,0.15753
10/19/2015,0.15725
