Security,GBPUSD BGN Curncy                                               
Start Date,9/25/15 0:00
End Date,9/28/17 0:00
Period,D
Pricing Source,BGN
,
Date,PX_LAST
9/28/17,1.3402
9/27/17,1.3387
9/26/17,1.3458
9/25/17,1.3466
9/22/17,1.3504
9/21/17,1.358
9/20/17,1.3495
9/19/17,1.3503
9/18/17,1.3495
9/15/17,1.3594
9/14/17,1.3399
9/13/17,1.3211
9/12/17,1.3283
9/11/17,1.3163
9/8/17,1.32
9/7/17,1.3101
9/6/17,1.3043
9/5/17,1.3033
9/4/17,1.2931
9/1/17,1.2951
8/31/17,1.293
8/30/17,1.2925
8/29/17,1.2918
8/28/17,1.2933
8/25/17,1.2882
8/24/17,1.2801
8/23/17,1.28
8/22/17,1.2824
8/21/17,1.29
8/18/17,1.287
8/17/17,1.2868
8/16/17,1.2891
8/15/17,1.2869
8/14/17,1.2964
8/11/17,1.3014
8/10/17,1.2977
8/9/17,1.3004
8/8/17,1.2992
8/7/17,1.3035
8/4/17,1.304
8/3/17,1.3138
8/2/17,1.3223
8/1/17,1.3203
7/31/17,1.3215
7/28/17,1.3136
7/27/17,1.3066
7/26/17,1.3122
7/25/17,1.3025
7/24/17,1.3028
7/21/17,1.2997
7/20/17,1.2973
7/19/17,1.3022
7/18/17,1.304
7/17/17,1.3055
7/14/17,1.3098
7/13/17,1.2939
7/12/17,1.2885
7/11/17,1.2848
7/10/17,1.2881
7/7/17,1.289
7/6/17,1.2971
7/5/17,1.2934
7/4/17,1.292
7/3/17,1.294
6/30/17,1.3025
6/29/17,1.3007
6/28/17,1.2926
6/27/17,1.2814
6/26/17,1.2723
6/23/17,1.2718
6/22/17,1.2682
6/21/17,1.2671
6/20/17,1.2629
6/19/17,1.2737
6/16/17,1.2783
6/15/17,1.2758
6/14/17,1.2751
6/13/17,1.2754
6/12/17,1.2659
6/9/17,1.2746
6/8/17,1.2956
6/7/17,1.296
6/6/17,1.2911
6/5/17,1.2904
6/2/17,1.2888
6/1/17,1.2882
5/31/17,1.289
5/30/17,1.2859
5/29/17,1.284
5/26/17,1.2804
5/25/17,1.2942
5/24/17,1.2972
5/23/17,1.2961
5/22/17,1.3
5/19/17,1.3036
5/18/17,1.2938
5/17/17,1.297
5/16/17,1.2917
5/15/17,1.2896
5/12/17,1.289
5/11/17,1.2886
5/10/17,1.2938
5/9/17,1.2934
5/8/17,1.294
5/5/17,1.2982
5/4/17,1.2923
5/3/17,1.2867
5/2/17,1.2939
5/1/17,1.2886
4/28/17,1.2951
4/27/17,1.2904
4/26/17,1.2848
4/25/17,1.2842
