Security,JPYUSD BGN Curncy                                               
Start Date,10/5/2015 0:00
End Date,10/5/2017 0:00
Period,D
Pricing Source,BGN
,
Date,PX_LAST
10/5/2017,0.008863
10/4/2017,0.008869
10/3/2017,0.008862
10/2/2017,0.008868
9/29/2017,0.008887
9/28/2017,0.008901
9/27/2017,0.008863
9/26/2017,0.00891
9/25/2017,0.008951
9/22/2017,0.008929
9/21/2017,0.008891
9/20/2017,0.008913
9/19/2017,0.008961
9/18/2017,0.008963
9/15/2017,0.009023
9/14/2017,0.009071
9/13/2017,0.009051
9/12/2017,0.009077
9/11/2017,0.009141
9/8/2017,0.009273
9/7/2017,0.009221
9/6/2017,0.009156
9/5/2017,0.00919
9/4/2017,0.009116
9/1/2017,0.00907
8/31/2017,0.009093
8/30/2017,0.009071
8/29/2017,0.009112
8/28/2017,0.009152
8/25/2017,0.009144
8/24/2017,0.009128
8/23/2017,0.009171
8/22/2017,0.009127
8/21/2017,0.009176
8/18/2017,0.009157
8/17/2017,0.009127
8/16/2017,0.009075
8/15/2017,0.009036
8/14/2017,0.009121
8/11/2017,0.009158
8/10/2017,0.009157
8/9/2017,0.009086
8/8/2017,0.009064
8/7/2017,0.00903
8/4/2017,0.009034
8/3/2017,0.009087
8/2/2017,0.009031
8/1/2017,0.00906
7/31/2017,0.00907
7/28/2017,0.009035
7/27/2017,0.008988
7/26/2017,0.008995
7/25/2017,0.008937
7/24/2017,0.009001
7/21/2017,0.008998
7/20/2017,0.008936
7/19/2017,0.008932
7/18/2017,0.008924
7/17/2017,0.008879
7/14/2017,0.008886
7/13/2017,0.008827
7/12/2017,0.008836
7/11/2017,0.008777
7/10/2017,0.008769
7/7/2017,0.008779
7/6/2017,0.008832
7/5/2017,0.008829
7/4/2017,0.008828
7/3/2017,0.00882
6/30/2017,0.008901
6/29/2017,0.008915
6/28/2017,0.008904
6/27/2017,0.008901
6/26/2017,0.008939
6/23/2017,0.008986
6/22/2017,0.008982
6/21/2017,0.008978
6/20/2017,0.008972
6/19/2017,0.008967
6/16/2017,0.009019
6/15/2017,0.009015
6/14/2017,0.009126
6/13/2017,0.009086
6/12/2017,0.009095
6/9/2017,0.009064
6/8/2017,0.009089
6/7/2017,0.009105
6/6/2017,0.00914
6/5/2017,0.009052
6/2/2017,0.009057
6/1/2017,0.008979
5/31/2017,0.009028
5/30/2017,0.009022
5/29/2017,0.008988
5/26/2017,0.008982
5/25/2017,0.008941
5/24/2017,0.008969
5/23/2017,0.008946
5/22/2017,0.008985
5/19/2017,0.008989
5/18/2017,0.00897
5/17/2017,0.009024
5/16/2017,0.00884
5/15/2017,0.008788
5/12/2017,0.008823
5/11/2017,0.008783
5/10/2017,0.00875
5/9/2017,0.008773
5/8/2017,0.00883
5/5/2017,0.008872
5/4/2017,0.008892
5/3/2017,0.008869
5/2/2017,0.008929
5/1/2017,0.008941
4/28/2017,0.008966
4/27/2017,0.008988
4/26/2017,0.009005
4/25/2017,0.009002
4/24/2017,0.009111
4/21/2017,0.009164
4/20/2017,0.009147
4/19/2017,0.009186
4/18/2017,0.009223
4/17/2017,0.009182
4/14/2017,0.009207
4/13/2017,0.009166
4/12/2017,0.009172
4/11/2017,0.009123
4/10/2017,0.009014
4/7/2017,0.009004
4/6/2017,0.009025
4/5/2017,0.009033
4/4/2017,0.009031
4/3/2017,0.009017
3/31/2017,0.008977
3/30/2017,0.008935
3/29/2017,0.009006
3/28/2017,0.008998
3/27/2017,0.009036
3/24/2017,0.008982
3/23/2017,0.009015
3/22/2017,0.008996
3/21/2017,0.008951
3/20/2017,0.008885
3/17/2017,0.008873
3/16/2017,0.008826
3/15/2017,0.008819
3/14/2017,0.008715
3/13/2017,0.008705
3/10/2017,0.008711
3/9/2017,0.008699
3/8/2017,0.008743
3/7/2017,0.008773
3/6/2017,0.00878
3/3/2017,0.00877
3/2/2017,0.00874
3/1/2017,0.008793
2/28/2017,0.008868
2/27/2017,0.008874
2/24/2017,0.008917
2/23/2017,0.00888
2/22/2017,0.008826
2/21/2017,0.008796
2/20/2017,0.008842
2/17/2017,0.008862
2/16/2017,0.008831
2/15/2017,0.00876
2/14/2017,0.008752
2/13/2017,0.008792
2/10/2017,0.008833
2/9/2017,0.008831
2/8/2017,0.008934
2/7/2017,0.008897
2/6/2017,0.008949
2/3/2017,0.008881
2/2/2017,0.008865
2/1/2017,0.00883
1/31/2017,0.008865
1/30/2017,0.008789
1/27/2017,0.008688
1/26/2017,0.008731
1/25/2017,0.008828
1/24/2017,0.008788
1/23/2017,0.008873
1/20/2017,0.008724
1/19/2017,0.008706
1/18/2017,0.008724
1/17/2017,0.00888
1/16/2017,0.008757
1/13/2017,0.008733
1/12/2017,0.008717
1/11/2017,0.008665
1/10/2017,0.008637
1/9/2017,0.008617
1/6/2017,0.008547
1/5/2017,0.008669
1/4/2017,0.008529
1/3/2017,0.008493
1/2/2017,0.008506
12/30/2016,0.008547
12/29/2016,0.008581
12/28/2016,0.008528
12/27/2016,0.008516
12/26/2016,0.00854
12/23/2016,0.008524
12/22/2016,0.008508
12/21/2016,0.008507
12/20/2016,0.008485
12/19/2016,0.008541
12/16/2016,0.00848
12/15/2016,0.008462
12/14/2016,0.008544
12/13/2016,0.008682
12/12/2016,0.008694
12/9/2016,0.008673
12/8/2016,0.00877
12/7/2016,0.008791
12/6/2016,0.008771
12/5/2016,0.008783
12/2/2016,0.00881
12/1/2016,0.008764
11/30/2016,0.008736
11/29/2016,0.008898
11/28/2016,0.008934
11/25/2016,0.008831
11/24/2016,0.008822
11/23/2016,0.008888
11/22/2016,0.008997
11/21/2016,0.009024
11/18/2016,0.009017
11/17/2016,0.00908
11/16/2016,0.009168
11/15/2016,0.009158
11/14/2016,0.009223
11/11/2016,0.009375
11/10/2016,0.009361
11/9/2016,0.009463
11/8/2016,0.009508
11/7/2016,0.009573
11/4/2016,0.009698
11/3/2016,0.009711
11/2/2016,0.00968
11/1/2016,0.009601
10/31/2016,0.00954
10/28/2016,0.009549
10/27/2016,0.009498
10/26/2016,0.009572
10/25/2016,0.009595
10/24/2016,0.009598
10/21/2016,0.009632
10/20/2016,0.00962
10/19/2016,0.009667
10/18/2016,0.009628
10/17/2016,0.009626
10/14/2016,0.009599
10/13/2016,0.009643
10/12/2016,0.009597
10/11/2016,0.009661
10/10/2016,0.009652
10/7/2016,0.009715
10/6/2016,0.00962
10/5/2016,0.009662
10/4/2016,0.009718
10/3/2016,0.009838
9/30/2016,0.009868
9/29/2016,0.009897
9/28/2016,0.009931
9/27/2016,0.009958
9/26/2016,0.009967
9/23/2016,0.009899
9/22/2016,0.009925
9/21/2016,0.009969
9/20/2016,0.009832
9/19/2016,0.009812
9/16/2016,0.009778
9/15/2016,0.009796
9/14/2016,0.009763
9/13/2016,0.009751
9/12/2016,0.00982
9/9/2016,0.009737
9/8/2016,0.009757
9/7/2016,0.009828
9/6/2016,0.009802
9/5/2016,0.009668
9/2/2016,0.009618
9/1/2016,0.009687
8/31/2016,0.009669
8/30/2016,0.009712
8/29/2016,0.009812
8/26/2016,0.009821
8/25/2016,0.009948
8/24/2016,0.009955
8/23/2016,0.009979
8/22/2016,0.009968
8/19/2016,0.009978
8/18/2016,0.010012
8/17/2016,0.009973
8/16/2016,0.009969
8/15/2016,0.009876
8/12/2016,0.009872
8/11/2016,0.009808
8/10/2016,0.009873
8/9/2016,0.009815
8/8/2016,0.009761
8/5/2016,0.009822
8/4/2016,0.00988
8/3/2016,0.009877
8/2/2016,0.009912
8/1/2016,0.009766
7/29/2016,0.009798
7/28/2016,0.0095
7/27/2016,0.009488
7/26/2016,0.009557
7/25/2016,0.009451
7/22/2016,0.009424
7/21/2016,0.00945
7/20/2016,0.009356
7/19/2016,0.009423
7/18/2016,0.00942
7/15/2016,0.009538
7/14/2016,0.009492
7/13/2016,0.009571
7/12/2016,0.009552
7/11/2016,0.009727
7/8/2016,0.009945
7/7/2016,0.009924
7/6/2016,0.00987
7/5/2016,0.00983
7/4/2016,0.009753
7/1/2016,0.009753
6/30/2016,0.009692
6/29/2016,0.009725
6/28/2016,0.009732
6/27/2016,0.009804
6/24/2016,0.009787
6/23/2016,0.009421
6/22/2016,0.009577
6/21/2016,0.009546
6/20/2016,0.009621
6/17/2016,0.009603
6/16/2016,0.009592
6/15/2016,0.009433
6/14/2016,0.009424
6/13/2016,0.009411
6/10/2016,0.009348
6/9/2016,0.009337
6/8/2016,0.009347
6/7/2016,0.009313
6/6/2016,0.009298
6/3/2016,0.009387
6/2/2016,0.009185
6/1/2016,0.009129
5/31/2016,0.009031
5/30/2016,0.008999
5/27/2016,0.009066
5/26/2016,0.00911
5/25/2016,0.009075
5/24/2016,0.009092
5/23/2016,0.009155
5/20/2016,0.009079
5/19/2016,0.009094
5/18/2016,0.009075
5/17/2016,0.009162
5/16/2016,0.009172
5/13/2016,0.009205
5/12/2016,0.009173
5/11/2016,0.009223
5/10/2016,0.009152
5/9/2016,0.009231
5/6/2016,0.009336
5/5/2016,0.009324
5/4/2016,0.009344
5/3/2016,0.009382
5/2/2016,0.009398
4/29/2016,0.009404
4/28/2016,0.00925
4/27/2016,0.008972
4/26/2016,0.008984
4/25/2016,0.008993
4/22/2016,0.008947
4/21/2016,0.009135
4/20/2016,0.009104
4/19/2016,0.009156
4/18/2016,0.009189
4/15/2016,0.009195
4/14/2016,0.009141
4/13/2016,0.009146
4/12/2016,0.009213
4/11/2016,0.009264
4/8/2016,0.009254
4/7/2016,0.009241
4/6/2016,0.009108
4/5/2016,0.009063
4/4/2016,0.008982
4/1/2016,0.008956
3/31/2016,0.008883
3/30/2016,0.008894
3/29/2016,0.008873
3/28/2016,0.008815
3/25/2016,0.008843
3/24/2016,0.008857
3/23/2016,0.008898
3/22/2016,0.0089
3/21/2016,0.008933
3/18/2016,0.008965
3/17/2016,0.008976
3/16/2016,0.008884
3/15/2016,0.008836
3/14/2016,0.008786
3/11/2016,0.008785
3/10/2016,0.008833
3/9/2016,0.008824
3/8/2016,0.008879
3/7/2016,0.008815
3/4/2016,0.00879
3/3/2016,0.008795
3/2/2016,0.008813
3/1/2016,0.008772
2/29/2016,0.008874
2/26/2016,0.008773
2/25/2016,0.008851
2/24/2016,0.008915
2/23/2016,0.00892
2/22/2016,0.008856
2/19/2016,0.008879
2/18/2016,0.008829
2/17/2016,0.008765
2/16/2016,0.008766
2/15/2016,0.008726
2/12/2016,0.008831
2/11/2016,0.008896
2/10/2016,0.008822
2/9/2016,0.008687
2/8/2016,0.008632
2/5/2016,0.008559
2/4/2016,0.008563
2/3/2016,0.008483
2/2/2016,0.008336
2/1/2016,0.008265
1/29/2016,0.008256
1/28/2016,0.008416
1/27/2016,0.008426
1/26/2016,0.008445
1/25/2016,0.008453
1/22/2016,0.008419
1/21/2016,0.008496
1/20/2016,0.008551
1/19/2016,0.008501
1/18/2016,0.008521
1/15/2016,0.008546
1/14/2016,0.008471
1/13/2016,0.008498
1/12/2016,0.0085
1/11/2016,0.008492
1/8/2016,0.008529
1/7/2016,0.008498
1/6/2016,0.00844
1/5/2016,0.008399
1/4/2016,0.008372
1/1/2016,0.008311
12/31/2015,0.008316
12/30/2015,0.008296
12/29/2015,0.008302
12/28/2015,0.008306
12/25/2015,0.008314
12/24/2015,0.008303
12/23/2015,0.00827
12/22/2015,0.00826
12/21/2015,0.008251
12/18/2015,0.008254
12/17/2015,0.008159
12/16/2015,0.008183
12/15/2015,0.008219
12/14/2015,0.008263
12/11/2015,0.008263
12/10/2015,0.008226
12/9/2015,0.008234
12/8/2015,0.008134
12/7/2015,0.008106
12/4/2015,0.008123
12/3/2015,0.008156
12/2/2015,0.008114
12/1/2015,0.008138
11/30/2015,0.008123
11/27/2015,0.008145
11/26/2015,0.008158
11/25/2015,0.00815
11/24/2015,0.008161
11/23/2015,0.008141
11/20/2015,0.008145
11/19/2015,0.008139
11/18/2015,0.008088
11/17/2015,0.008101
11/16/2015,0.008118
11/13/2015,0.008156
11/12/2015,0.008156
11/11/2015,0.008139
11/10/2015,0.00812
11/9/2015,0.008119
11/6/2015,0.008121
11/5/2015,0.008214
11/4/2015,0.008227
11/3/2015,0.00826
11/2/2015,0.008281
10/30/2015,0.008291
10/29/2015,0.008256
10/28/2015,0.008258
10/27/2015,0.008302
10/26/2015,0.008258
10/23/2015,0.008233
10/22/2015,0.008285
10/21/2015,0.008338
10/20/2015,0.008344
