Date,Open,High,Low,Close,Adj Close,Volume
2014-10-24,127.489998,128.220001,127.220001,127.989998,117.988068,241400
2014-10-27,127.970001,129.330002,127.879997,129.169998,119.075851,367300
2014-10-28,129.199997,130.089996,128.690002,130.089996,119.923958,249800
2014-10-29,129.830002,130.559998,129.059998,130.500000,120.301926,316800
2014-10-30,130.210007,131.089996,129.429993,131.089996,120.845818,293600
2014-10-31,133.600006,133.600006,130.220001,131.800003,121.500336,497700
2014-11-03,132.570007,135.350006,132.350006,135.309998,124.736038,503100
2014-11-04,134.830002,135.970001,134.440002,135.910004,125.289131,295600
2014-11-05,136.500000,136.539993,134.160004,134.919998,124.376518,360700
2014-11-06,135.199997,135.839996,133.979996,134.169998,123.685120,369700
2014-11-07,134.179993,134.490005,132.809998,132.899994,122.514374,739100
2014-11-10,132.880005,134.830002,132.639999,134.720001,124.192139,403900
2014-11-11,134.949997,135.050003,133.630005,133.679993,123.233391,335600
2014-11-12,133.580002,133.889999,131.330002,131.470001,121.196114,591000
2014-11-13,131.910004,132.919998,131.500000,132.179993,121.850647,429400
2014-11-14,132.240005,132.759995,130.820007,131.210007,120.956444,234800
2014-11-17,130.800003,132.309998,130.759995,131.619995,121.334373,276600
2014-11-18,132.009995,132.610001,131.520004,132.130005,121.804535,337300
2014-11-19,131.960007,132.440002,130.619995,130.750000,120.532379,427800
2014-11-20,130.940002,130.940002,129.570007,130.339996,120.154411,354300
2014-11-21,130.649994,131.419998,130.449997,130.669998,120.458626,450600
2014-11-24,130.679993,132.190002,130.679993,131.050003,120.808952,422700
2014-11-25,130.899994,131.300003,130.679993,130.789993,120.569244,509400
2014-11-26,131.070007,133.009995,130.710007,132.949997,122.560455,390100
2014-11-28,133.259995,134.899994,132.410004,132.660004,122.293114,218800
2014-12-01,132.250000,133.240005,131.800003,131.949997,121.638596,414300
2014-12-02,131.619995,132.610001,130.809998,132.529999,122.173286,263400
2014-12-03,132.529999,133.179993,132.110001,132.679993,122.311539,283300
2014-12-04,132.309998,133.080002,131.910004,132.809998,122.431389,353400
2014-12-05,132.600006,132.600006,131.199997,132.389999,122.044212,241500
2014-12-08,131.990005,134.039993,131.990005,133.119995,122.717171,286200
2014-12-09,131.979996,133.520004,131.979996,133.089996,122.689507,299900
2014-12-10,132.779999,133.500000,131.850006,132.559998,122.200920,225200
2014-12-11,133.279999,133.300003,132.149994,132.470001,122.117958,263700
2014-12-12,132.240005,133.199997,131.220001,131.289993,121.030182,268400
2014-12-15,131.179993,132.270004,129.509995,129.690002,119.555222,401100
2014-12-16,129.279999,130.350006,128.100006,129.160004,119.066635,456100
2014-12-17,129.679993,132.860001,128.720001,132.820007,122.440628,381500
2014-12-18,133.309998,135.250000,133.080002,135.210007,124.643845,414900
2014-12-19,135.220001,135.630005,133.610001,134.089996,123.611359,809500
2014-12-22,134.539993,137.059998,134.350006,136.929993,126.229424,229100
2014-12-23,136.929993,137.509995,135.889999,136.389999,125.731628,219900
2014-12-24,136.410004,137.800003,135.899994,136.259995,125.611786,89200
2014-12-26,136.210007,137.089996,136.210007,136.460007,125.796165,104700
2014-12-29,136.580002,137.460007,136.500000,137.179993,126.459892,276500
2014-12-30,136.509995,137.330002,136.009995,136.339996,126.487717,186600
