Date,Open,High,Low,Close,Adj Close,Volume
2014-10-24,44.959999,45.070000,44.639999,44.970001,39.482662,1265900
2014-10-27,44.980000,45.330002,44.910000,45.259998,39.737274,1590800
2014-10-28,45.200001,45.259998,44.810001,45.150002,39.640694,1856400
2014-10-29,45.090000,46.349998,45.040001,45.910000,40.307953,7016700
2014-10-30,45.540001,46.660000,45.340000,46.520000,41.006981,3827800
2014-10-31,46.660000,46.759998,45.639999,46.029999,40.575043,3806700
2014-11-03,46.150002,47.000000,46.130001,46.930000,41.368385,2243500
2014-11-04,46.750000,47.669998,46.709999,47.630001,41.985443,2341400
2014-11-05,47.610001,47.880001,47.009998,47.270000,41.668095,2141200
2014-11-06,47.270000,47.570000,46.730000,46.860001,41.306683,1803100
2014-11-07,46.869999,47.160000,46.560001,46.869999,41.315495,1517000
2014-11-10,46.849998,47.240002,46.740002,47.099998,41.518230,1631300
2014-11-11,47.099998,47.099998,46.630001,46.830002,41.280247,1337800
2014-11-12,46.910000,46.910000,46.139999,46.340000,40.848309,1838000
2014-11-13,46.130001,46.700001,46.090000,46.169998,40.698463,1879200
2014-11-14,46.160000,46.349998,45.470001,45.700001,40.284161,2613400
2014-11-17,45.720001,46.220001,45.650002,46.070000,40.610317,1827000
2014-11-18,46.119999,46.470001,46.040001,46.110001,40.645569,1683200
2014-11-19,46.110001,46.320000,45.820000,45.900002,40.460449,1653800
2014-11-20,45.840000,46.130001,45.720001,45.919998,40.478088,1282000
2014-11-21,46.130001,46.130001,45.619999,45.959999,40.513348,1251900
2014-11-24,46.099998,46.500000,46.060001,46.310001,40.821869,1093400
2014-11-25,46.419998,46.560001,46.119999,46.389999,40.892380,1444000
2014-11-26,46.369999,46.470001,46.130001,46.430000,41.089725,1255900
2014-11-28,46.509998,47.049999,46.360001,46.459999,41.116287,582500
2014-12-01,46.459999,47.000000,46.020000,46.459999,41.116287,1726000
2014-12-02,46.310001,46.580002,46.009998,46.509998,41.160530,1698100
2014-12-03,46.490002,46.580002,46.209999,46.279999,40.956985,1010500
2014-12-04,46.340000,46.439999,46.029999,46.160000,40.850784,1445700
2014-12-05,46.090000,46.090000,44.910000,45.509998,40.275543,2744600
2014-12-08,45.509998,45.980000,45.270000,45.470001,40.240166,2261200
2014-12-09,45.290001,45.630001,45.209999,45.549999,40.310944,1545400
2014-12-10,45.560001,45.950001,45.419998,45.730000,40.470257,1275400
2014-12-11,45.950001,46.660000,45.810001,46.500000,41.151680,1464600
2014-12-12,46.450001,46.980000,46.400002,46.560001,41.204792,1738600
2014-12-15,46.669998,46.799999,46.270000,46.480000,41.133984,2112500
2014-12-16,46.500000,46.730000,45.959999,46.560001,41.204792,1884000
2014-12-17,46.750000,47.660000,46.270000,47.650002,42.169411,2211600
2014-12-18,47.820000,48.009998,47.650002,48.009998,42.487995,1761500
2014-12-19,48.040001,48.660000,48.009998,48.599998,43.010147,3528100
2014-12-22,48.580002,49.290001,48.480000,49.259998,43.594227,1329400
2014-12-23,49.320000,49.320000,48.810001,49.090000,43.443802,2270300
2014-12-24,49.090000,49.540001,49.049999,49.419998,43.735828,1187700
2014-12-26,49.540001,49.680000,49.130001,49.310001,43.638470,1292600
2014-12-29,49.320000,49.570000,49.189999,49.570000,43.868584,1436000
2014-12-30,49.320000,49.580002,48.779999,48.910000,43.444874,1284000
2014-12-31,48.970001,49.369999,47.700001,47.709999,42.378963,1302000
2015-01-02,47.980000,48.669998,47.950001,48.619999,43.187279,1225900
