Date,PX_LAST,Change,% Change
10/31/17,6.635,-0.0115,-0.17
10/30/17,6.6465,-0.004,-0.060145854
10/27/17,6.6505,0.0079,0.118929335
10/26/17,6.6426,0.0035,0.052717989
10/25/17,6.6391,0.0033,0.049730251
10/24/17,6.6358,-0.0042,-0.063253012
10/23/17,6.64,0.0195,0.294539687
10/20/17,6.6205,0.0067,0.101303335
10/19/17,6.6138,-0.0136,-0.205208679
10/18/17,6.6274,0.0038,0.057370614
10/17/17,6.6236,0.0338,0.512913897
10/16/17,6.5898,0.0102,0.155024622
10/13/17,6.5796,-0.0079,-0.119924099
10/12/17,6.5875,-0.0028,-0.042486685
10/11/17,6.5903,0.016,0.243371918
10/10/17,6.5743,-0.0508,-0.766780879
10/9/17,6.6251,-0.0277,-0.416366041
9/29/17,6.6528,-0.008,-0.120105693
9/28/17,6.6608,0.0183,0.275498683
9/27/17,6.6425,0.0025,0.037650602
9/26/17,6.64,0.0185,0.279392887
9/25/17,6.6215,0.0314,0.476472284
9/22/17,6.5901,0.0003,0.00455249
9/21/17,6.5898,0.0149,0.226619416
9/20/17,6.5749,-0.0086,-0.130629604
9/19/17,6.5835,0.0082,0.124709139
9/18/17,6.5753,0.0227,0.346427372
9/15/17,6.5526,-0.0034,-0.051860891
9/14/17,6.556,0.013,0.198685618
9/13/17,6.543,0.0076,0.116289745
9/12/17,6.5354,0.0057,0.087293444
9/11/17,6.5297,0.0354,0.54509339
9/8/17,6.4943,0.0078,0.120249749
9/7/17,6.4865,-0.0377,-0.577848625
9/6/17,6.5242,-0.0146,-0.223282559
9/5/17,6.5388,0.0079,0.12096342
9/1/17,6.5584,-0.0317,-0.481024567
8/31/17,6.5901,-0.0039,-0.059144677
8/30/17,6.594,-0.0023,-0.034868032
8/29/17,6.5963,-0.0181,-0.27364538
8/28/17,6.6144,-0.0321,-0.482960957
8/25/17,6.6465,-0.0155,-0.232662864
8/24/17,6.662,0.003,0.04505181
8/23/17,6.659,-0.0034,-0.051032661
8/22/17,6.6624,-0.004,-0.0600024
8/21/17,6.6664,-0.0038,-0.056969806
8/18/17,6.6702,-0.0053,-0.079394802
