Date,Mkt-RF,SMB,HML,RF
20160301,2.34,-0.63,0.3,0.001
20160302,0.54,0.5,0.71,0.001
20160303,0.51,0.44,0.65,0.001
20160304,0.37,0.28,0.29,0.001
20160307,0.21,1.21,0.54,0.001
20160308,-1.27,-1.15,-0.49,0.001
20160309,0.5,0.04,0.38,0.001
20160310,-0.11,-0.81,0.63,0.001
20160311,1.69,0.27,0.19,0.001
20160314,-0.12,-0.07,-0.87,0.001
20160315,-0.36,-1.43,0.67,0.001
20160316,0.63,0.1,-0.04,0.001
20160317,0.72,0.84,0.58,0.001
20160318,0.54,0.34,-0.19,0.001
20160321,0.1,-0.2,-0.31,0.001
20160322,-0.05,-0.01,-0.44,0.001
20160323,-0.86,-1.17,-0.09,0.001
20160324,0,0.47,-0.06,0.001
20160328,0.04,-0.03,0.14,0.001
20160329,1.07,1.77,-1.18,0.001
20160330,0.41,-0.28,0.15,0.001
20160331,-0.11,0.44,-0.48,0.001
20160401,0.64,-0.25,-0.62,0
20160405,-0.94,-0.08,-0.36,0
20160406,1.14,0.17,-0.82,0
20160407,-1.23,-0.05,-0.35,0
20160408,0.29,0.02,0.68,0
20160411,-0.28,-0.1,0.95,0
20160412,0.99,-0.07,0.85,0
20160413,1.23,0.84,0.36,0
20160414,0.03,-0.28,0.18,0
20160415,-0.04,0.33,-0.33,0
20160418,0.65,0.09,-0.19,0
20160419,0.29,-0.36,1.48,0
20160420,0.15,-0.1,0.54,0
20160421,-0.47,0.11,-0.59,0
20160422,0.12,0.82,0.49,0
20160425,-0.24,-0.58,-0.18,0
20160426,0.29,0.66,0.78,0
20160427,0.21,0.09,0.68,0
20160428,-0.96,-0.16,0.05,0
20160429,-0.5,-0.14,0.38,0
20160503,-1.05,-0.66,-0.5,0.001
20160504,-0.66,-0.15,0.06,0.001
20160505,-0.08,-0.5,0.09,0.001
20160506,0.38,0.05,0.24,0.001
20160509,0.05,0.36,-1.48,0.001
20160510,1.26,-0.4,0.47,0.001
