Date,Mom   
20160301,-0.17
20160302,-2.63
20160303,-2.05
20160304,-1.06
20160307,-2.41
20160308,3.65
20160309,-0.1
20160310,0.6
20160311,-1.95
20160314,-0.09
20160315,2.23
20160316,-1.17
20160317,-0.91
20160318,-0.84
20160321,-0.17
20160322,-0.08
20160323,3.17
20160324,-0.57
20160328,0.86
20160329,-0.17
20160330,0.06
20160331,-1.11
20160401,1.12
20160405,0.18
20160406,-1.47
20160407,0.29
20160408,-0.65
20160411,0.07
20160412,-1.39
20160413,-1.34
20160414,-0.14
20160415,0.44
20160418,-0.34
20160419,-0.61
20160420,-1.05
20160421,-1.06
20160422,-1.25
20160425,1.55
20160426,-0.85
20160427,-0.65
20160428,0.74
20160429,0.7
20160503,1.6
20160504,1.31
20160505,0.27
20160506,0.33
20160509,0.95
20160510,-0.66
20160511,0.41
20160512,1.3
20160513,0.06
20160516,-0.77
20160517,-1.56
20160518,0.31
20160519,0.31
20160520,-1.22
20160523,-0.24
20160524,0.06
20160525,-1.54
20160526,0.45
20160527,-0.23
20160531,-0.62
20160601,-0.13
20160602,-0.64
20160603,0.62
20160606,-1.38
20160607,0
20160608,0.55
20160613,0.24
20160614,0.57
20160615,-0.51
20160616,0.48
20160617,-0.95
20160620,-0.31
20160621,0.55
20160622,0.12
20160623,-1.09
20160624,2.02
20160627,2.82
20160628,-1.52
20160629,-0.7
20160630,0.7
20160701,-1.01
20160705,1.89
20160706,-0.43
20160707,-0.55
20160708,-0.63
20160711,-0.13
20160712,-1.51
20160713,0.86
20160714,-0.61
20160715,-0.11
20160718,-0.69
20160719,0.65
20160720,-0.81
20160721,-0.33
20160722,0.32
20160725,-0.08
20160726,-0.26
20160727,-0.92
20160728,0.24
20160729,0.15
20160801,-0.06
20160802,0.46
20160803,-1.64
20160804,0.57
20160805,-1.28
20160808,-0.44
20160809,0.44
20160810,0.83
20160811,-0.7
20160812,-0.24
20160815,-1.06
20160816,-0.34
20160817,0.39
20160818,0.05
20160819,-0.22
20160822,0.16
20160823,-0.4
20160824,0.48
20160825,0.44
20160826,-0.47
20160829,-0.09
20160830,-0.43
20160831,0.26
20160901,0.62
20160902,0.05
20160906,-0.15
20160907,-0.64
20160908,-0.67
20160909,-0.18
20160912,-0.25
20160913,0.17
20160914,0.34
20160919,0.05
20160920,0.03
20160921,0.59
20160922,-0.2
20160923,-0.33
20160926,0.45
20160927,0.02
20160928,0.26
20160929,0.4
20160930,-0.33
20161010,0.04
20161011,0.05
20161012,0.59
20161013,0.11
20161014,0.34
20161017,0.52
20161018,-0.31
20161019,-0.35
20161020,-0.41
20161021,-0.26
20161024,0.41
20161025,0.06
20161026,-0.75
20161027,-0.18
20161028,0.5
20161031,0.82
20161101,-0.27
20161102,0.17
20161103,0.85
20161104,-0.61
20161107,-0.25
20161108,0.59
20161109,-2.06
20161110,-1.92
20161111,-0.19
20161114,-1.48
20161115,0.75
20161116,0.77
20161117,-0.08
20161118,0.19
20161121,0.37
20161122,0.49
20161123,-0.45
20161125,0.07
20161128,0.65
20161129,0.31
20161130,-0.75
20161201,-0.43
20161202,0.43
20161205,-0.26
20161206,-0.45
20161207,0.16
20161208,-0.39
20161209,-0.71
20161212,0.15
20161213,-0.12
20161214,0.07
