Security,GDP CQOQ Index                                                  
Start Date,12/31/87 0:00
End Date,9/30/17 0:00
Period,Q
,
Date,PX_LAST
9/30/17,3
6/30/17,3.1
3/31/17,1.2
12/31/16,1.8
9/30/16,2.8
6/30/16,2.2
3/31/16,0.6
12/31/15,0.5
9/30/15,1.6
6/30/15,2.7
3/31/15,3.2
12/31/14,2
9/30/14,5.2
6/30/14,4.6
3/31/14,-0.9
12/31/13,4
9/30/13,3.1
6/30/13,0.8
3/31/13,2.8
12/31/12,0.1
9/30/12,0.5
6/30/12,1.9
3/31/12,2.7
12/31/11,4.6
9/30/11,0.8
6/30/11,2.9
3/31/11,-1.5
12/31/10,2.5
9/30/10,2.7
6/30/10,3.9
3/31/10,1.7
12/31/09,3.9
9/30/09,1.3
6/30/09,-0.5
3/31/09,-5.4
12/31/08,-8.2
9/30/08,-1.9
6/30/08,2
3/31/08,-2.7
12/31/07,1.4
9/30/07,2.7
6/30/07,3.1
3/31/07,0.2
12/31/06,3.2
9/30/06,0.4
6/30/06,1.2
3/31/06,4.9
12/31/05,2.3
9/30/05,3.4
6/30/05,2.1
3/31/05,4.3
12/31/04,3.5
9/30/04,3.7
6/30/04,3
3/31/04,2.3
12/31/03,4.8
9/30/03,6.9
6/30/03,3.8
3/31/03,2.1
12/31/02,0.3
9/30/02,2
6/30/02,2.2
3/31/02,3.7
12/31/01,1.1
9/30/01,-1.3
6/30/01,2.1
3/31/01,-1.1
12/31/00,2.3
9/30/00,0.5
6/30/00,7.8
3/31/00,1.2
12/31/99,7.1
9/30/99,5.1
6/30/99,3.3
3/31/99,3.2
12/31/98,6.7
9/30/98,5.3
6/30/98,3.9
3/31/98,4
12/31/97,3.1
9/30/97,5.2
6/30/97,6.2
3/31/97,3.1
12/31/96,4.3
9/30/96,3.7
6/30/96,7.2
3/31/96,2.7
12/31/95,2.9
9/30/95,3.5
6/30/95,1.4
3/31/95,1.4
12/31/94,4.6
9/30/94,2.4
6/30/94,5.6
3/31/94,4
12/31/93,5.4
9/30/93,2
6/30/93,2.4
3/31/93,0.8
12/31/92,4.1
9/30/92,3.9
6/30/92,4.5
3/31/92,4.8
12/31/91,1.8
9/30/91,1.9
6/30/91,3.1
3/31/91,-1.9
12/31/90,-3.4
9/30/90,0.1
6/30/90,1.6
3/31/90,4.5
12/31/89,0.9
9/30/89,3
6/30/89,3.2
3/31/89,4.1
12/31/88,5.4
9/30/88,2.3
6/30/88,5.4
3/31/88,2.3
12/31/87,6.8
