Security,PPI INDX Index                                                  ,
Start Date,12/31/87 0:00,
End Date,9/29/17 0:00,
Period,Q,
,,
Date,PX_LAST,FIRST_REVISION
9/29/17,197.3,#N/A N/A
6/30/17,196.8,#N/A N/A
3/31/17,196.7,#N/A N/A
12/30/16,194.6,#N/A N/A
9/30/16,192.7,#N/A N/A
6/30/16,192.5,#N/A N/A
3/31/16,189.6,#N/A N/A
12/31/15,190.9,#N/A N/A
9/30/15,192.8,#N/A N/A
6/30/15,196.4,#N/A N/A
3/31/15,193.9,#N/A N/A
12/31/14,196.4,#N/A N/A
9/30/14,200.9,#N/A N/A
6/30/14,201.6,#N/A N/A
3/31/14,200.4,#N/A N/A
12/31/13,198,#N/A N/A
9/30/13,196.7,#N/A N/A
6/28/13,196.3,#N/A N/A
3/29/13,196.5,#N/A N/A
12/31/12,195.3,#N/A N/A
9/28/12,196.5,#N/A N/A
6/29/12,192.1,#N/A N/A
3/30/12,194.1,#N/A N/A
12/30/11,192.7,#N/A N/A
9/30/11,192.8,#N/A N/A
6/30/11,190.8,#N/A N/A
3/31/11,188.8,#N/A N/A
12/31/10,184,#N/A N/A
9/30/10,180.1,#N/A N/A
6/30/10,178.3,#N/A N/A
3/31/10,178.9,#N/A N/A
12/31/09,177.1,#N/A N/A
9/30/09,173.5,#N/A N/A
6/30/09,173.5,#N/A N/A
3/31/09,169.1,#N/A N/A
12/31/08,169.7,#N/A N/A
9/30/08,182.7,#N/A N/A
6/30/08,181.2,#N/A N/A
3/31/08,175.4,#N/A N/A
12/31/07,171.7,#N/A N/A
9/28/07,167.6,#N/A N/A
6/29/07,166.1,#N/A N/A
3/30/07,164.1,#N/A N/A
12/29/06,161.1,#N/A N/A
9/29/06,160.2,#N/A N/A
6/30/06,161.4,#N/A N/A
3/31/06,159.3,#N/A N/A
12/30/05,159.6,#N/A N/A
9/30/05,158.8,#N/A N/A
6/30/05,153.9,#N/A N/A
3/31/05,153.7,#N/A N/A
12/31/04,151.4,#N/A N/A
9/30/04,148.8,#N/A N/A
6/30/04,148.4,#N/A N/A
3/31/04,146.2,#N/A N/A
12/31/03,145.1,#N/A N/A
9/30/03,144,#N/A N/A
6/30/03,142.7,#N/A N/A
3/31/03,144,#N/A N/A
12/31/02,139.7,#N/A N/A
9/30/02,139.2,#N/A N/A
6/28/02,138.8,#N/A N/A
3/29/02,138.8,#N/A N/A
12/31/01,138,#N/A N/A
9/28/01,141.3,#N/A N/A
6/29/01,141.8,#N/A N/A
3/30/01,141.2,#N/A N/A
12/29/00,140.5,#N/A N/A
9/29/00,139,#N/A N/A
6/30/00,138.1,#N/A N/A
3/31/00,137.3,#N/A N/A
12/31/99,135.2,#N/A N/A
9/30/99,134.5,#N/A N/A
6/30/99,132.4,#N/A N/A
3/31/99,131.5,#N/A N/A
12/31/98,131.3,#N/A N/A
9/30/98,130.4,#N/A N/A
6/30/98,130.4,#N/A N/A
3/31/98,130.5,#N/A N/A
12/31/97,131.4,#N/A N/A
9/30/97,131.6,#N/A N/A
6/30/97,131.3,#N/A N/A
3/31/97,132.6,#N/A N/A
12/31/96,132.9,#N/A N/A
9/30/96,131.7,#N/A N/A
6/28/96,131.3,#N/A N/A
3/29/96,130.5,#N/A N/A
12/29/95,129.3,#N/A N/A
9/29/95,128.1,#N/A N/A
6/30/95,127.8,#N/A N/A
3/31/95,127.4,#N/A N/A
12/30/94,126.6,#N/A N/A
9/30/94,125.9,#N/A N/A
6/30/94,125.2,#N/A N/A
3/31/94,125.1,#N/A N/A
12/31/93,124.4,#N/A N/A
9/30/93,124.1,#N/A N/A
6/30/93,125.2,#N/A N/A
3/31/93,125,#N/A N/A
12/31/92,124.2,#N/A N/A
9/30/92,123.7,#N/A N/A
6/30/92,123.4,#N/A N/A
3/31/92,122.4,#N/A N/A
12/31/91,122.3,#N/A N/A
9/30/91,121.5,#N/A N/A
6/28/91,121.4,#N/A N/A
3/29/91,121.3,#N/A N/A
12/31/90,122,#N/A N/A
9/28/90,120.7,#N/A N/A
6/29/90,117.6,#N/A N/A
3/30/90,117.5,#N/A N/A
12/29/89,115.5,#N/A N/A
9/29/89,114,#N/A N/A
6/30/89,114,#N/A N/A
3/31/89,112.3,#N/A N/A
12/30/88,110,#N/A N/A
9/30/88,109,#N/A N/A
6/30/88,107.5,#N/A N/A
3/31/88,106.6,#N/A N/A
12/31/87,105.8,#N/A N/A
