Security,PCE CRCH Index                                                  ,
Start Date,12/31/87 0:00,
End Date,9/29/17 0:00,
Period,Q,
,,
Date,PX_LAST,FIRST_REVISION
9/29/17,0.1,#N/A N/A
6/30/17,0.1,0.2
3/31/17,0.5,0.3
12/30/16,0.5,0.4
9/30/16,0.6,0.7
6/30/16,0.5,0.5
3/31/16,0.1,0
12/31/15,0.3,0.1
9/30/15,0.3,0.4
6/30/15,0.2,0.3
3/31/15,0.7,0.5
12/31/14,0,0.5
9/30/14,0.1,0
6/30/14,0.4,0.3
3/31/14,0.7,1
12/31/13,0.2,0.1
9/30/13,0.5,0.2
6/28/13,0.4,0.6
3/29/13,-0.2,0.1
12/31/12,0.2,0.1
9/28/12,0.7,#N/A N/A
6/29/12,-0.1,-0.1
3/30/12,0.1,0.2
12/30/11,0,#N/A N/A
9/30/11,0.4,0.7
6/30/11,0.2,-0.1
3/31/11,0.7,0.5
12/31/10,0.3,0.5
9/30/10,0.2,0.3
6/30/10,0.3,0.1
3/31/10,0.6,0.5
12/31/09,0.5,0.3
9/30/09,-0.9,-0.6
6/30/09,0.5,0.6
3/31/09,-0.3,-0.3
12/31/08,-1.1,-0.8
9/30/08,-0.6,-0.1
6/30/08,0.6,0.5
3/31/08,0.5,0.6
12/31/07,0.2,0.3
9/28/07,0.4,0.5
6/29/07,0.1,0.2
3/30/07,0.4,0.4
12/29/06,0.9,0.3
9/29/06,0.3,-0.2
6/30/06,0.3,0.6
3/31/06,0.4,0.5
12/30/05,0.4,0.7
9/30/05,0.6,1.2
6/30/05,1.1,1
3/31/05,0.5,0.9
12/31/04,0.7,0.4
9/30/04,0.9,-0.1
6/30/04,-0.1,-0.2
3/31/04,0.6,0.5
12/31/03,0.3,0.5
9/30/03,-0.1,1.1
6/30/03,0.7,0.6
3/31/03,0.7,0.8
12/31/02,0.7,1
9/30/02,-0.3,0.4
6/28/02,0.6,0
3/29/02,0.2,0.3
12/31/01,-0.3,0
9/28/01,-1.3,-1.7
6/29/01,0.2,0.5
3/30/01,-0.1,0.2
12/29/00,0.6,0.4
9/29/00,1.2,0.9
6/30/00,0.5,0.4
3/31/00,1,0.6
12/31/99,1.6,1.1
9/30/99,0.8,0.5
6/30/99,0.5,0.5
3/31/99,0.5,0.5
12/31/98,0.9,0.7
9/30/98,0.7,0.7
6/30/98,0.6,0.6
3/31/98,0.5,0.5
12/31/97,0.5,0.4
9/30/97,0.2,1
6/30/97,0.6,0.3
3/31/97,0.4,#N/A N/A
12/31/96,0.5,0.2
9/30/96,0.4,#N/A N/A
6/28/96,0.1,#N/A N/A
3/29/96,0.8,#N/A N/A
12/29/95,0.8,#N/A N/A
9/29/95,0.3,#N/A N/A
6/30/95,0.9,#N/A N/A
3/31/95,0.7,#N/A N/A
12/30/94,0.3,#N/A N/A
9/30/94,0.3,#N/A N/A
6/30/94,0.8,#N/A N/A
3/31/94,0.3,#N/A N/A
12/31/93,0.4,#N/A N/A
9/30/93,0.7,#N/A N/A
6/30/93,0.4,#N/A N/A
3/31/93,-0.1,#N/A N/A
12/31/92,0.8,#N/A N/A
9/30/92,0.8,#N/A N/A
6/30/92,0.5,#N/A N/A
3/31/92,0.4,#N/A N/A
12/31/91,0.4,#N/A N/A
9/30/91,0.4,#N/A N/A
6/28/91,0.2,#N/A N/A
3/29/91,1.2,#N/A N/A
12/31/90,-0.3,#N/A N/A
9/28/90,0.6,#N/A N/A
6/29/90,0.8,#N/A N/A
3/30/90,0.7,#N/A N/A
12/29/89,1.1,#N/A N/A
9/29/89,0,#N/A N/A
6/30/89,0.4,#N/A N/A
3/31/89,0.3,#N/A N/A
12/30/88,0.9,#N/A N/A
9/30/88,0.2,#N/A N/A
6/30/88,0.7,#N/A N/A
3/31/88,1.2,#N/A N/A
12/31/87,1,#N/A N/A
