Security,FDTR     Index                                                  ,
Start Date,12/31/87 0:00,
End Date,9/29/17 0:00,
Period,Q,
,,
Date,PX_LAST,FIRST_REVISION
9/29/17,1.25,#N/A N/A
6/30/17,1.25,#N/A N/A
3/31/17,1,#N/A N/A
12/30/16,0.75,#N/A N/A
9/30/16,0.5,#N/A N/A
6/30/16,0.5,#N/A N/A
3/31/16,0.5,#N/A N/A
12/31/15,0.5,#N/A N/A
9/30/15,0.25,#N/A N/A
6/30/15,0.25,#N/A N/A
3/31/15,0.25,#N/A N/A
12/31/14,0.25,#N/A N/A
9/30/14,0.25,#N/A N/A
6/30/14,0.25,#N/A N/A
3/31/14,0.25,#N/A N/A
12/31/13,0.25,#N/A N/A
9/30/13,0.25,#N/A N/A
6/28/13,0.25,#N/A N/A
3/29/13,0.25,#N/A N/A
12/31/12,0.25,#N/A N/A
9/28/12,0.25,#N/A N/A
6/29/12,0.25,#N/A N/A
3/30/12,0.25,#N/A N/A
12/30/11,0.25,#N/A N/A
9/30/11,0.25,#N/A N/A
6/30/11,0.25,#N/A N/A
3/31/11,0.25,#N/A N/A
12/31/10,0.25,#N/A N/A
9/30/10,0.25,#N/A N/A
6/30/10,0.25,#N/A N/A
3/31/10,0.25,#N/A N/A
12/31/09,0.25,#N/A N/A
9/30/09,0.25,#N/A N/A
6/30/09,0.25,#N/A N/A
3/31/09,0.25,#N/A N/A
12/31/08,0.25,#N/A N/A
9/30/08,2,#N/A N/A
6/30/08,2,#N/A N/A
3/31/08,2.25,#N/A N/A
12/31/07,4.25,#N/A N/A
9/28/07,4.75,#N/A N/A
6/29/07,5.25,#N/A N/A
3/30/07,5.25,#N/A N/A
12/29/06,5.25,#N/A N/A
9/29/06,5.25,#N/A N/A
6/30/06,5.25,#N/A N/A
3/31/06,4.75,#N/A N/A
12/30/05,4.25,#N/A N/A
9/30/05,3.75,#N/A N/A
6/30/05,3.25,#N/A N/A
3/31/05,2.75,#N/A N/A
12/31/04,2.25,#N/A N/A
9/30/04,1.75,#N/A N/A
6/30/04,1.25,#N/A N/A
3/31/04,1,#N/A N/A
12/31/03,1,#N/A N/A
9/30/03,1,#N/A N/A
6/30/03,1,#N/A N/A
3/31/03,1.25,#N/A N/A
12/31/02,1.25,#N/A N/A
9/30/02,1.75,#N/A N/A
6/28/02,1.75,#N/A N/A
3/29/02,1.75,#N/A N/A
12/31/01,1.75,#N/A N/A
9/28/01,3,#N/A N/A
6/29/01,3.75,#N/A N/A
3/30/01,5,#N/A N/A
12/29/00,6.5,#N/A N/A
9/29/00,6.5,#N/A N/A
6/30/00,6.5,#N/A N/A
3/31/00,6,#N/A N/A
12/31/99,5.5,#N/A N/A
9/30/99,5.25,#N/A N/A
6/30/99,5,#N/A N/A
3/31/99,4.75,#N/A N/A
12/31/98,4.75,#N/A N/A
9/30/98,5.25,#N/A N/A
6/30/98,5.5,#N/A N/A
3/31/98,5.5,#N/A N/A
12/31/97,5.5,#N/A N/A
9/30/97,5.5,#N/A N/A
6/30/97,5.5,#N/A N/A
3/31/97,5.5,#N/A N/A
12/31/96,5.25,#N/A N/A
9/30/96,5.25,#N/A N/A
6/28/96,5.25,#N/A N/A
3/29/96,5.25,#N/A N/A
12/29/95,5.5,#N/A N/A
9/29/95,5.75,#N/A N/A
6/30/95,6,#N/A N/A
3/31/95,6,#N/A N/A
12/30/94,5.5,#N/A N/A
9/30/94,4.75,#N/A N/A
6/30/94,4.25,#N/A N/A
3/31/94,3.5,#N/A N/A
12/31/93,3,#N/A N/A
9/30/93,3,#N/A N/A
6/30/93,3,#N/A N/A
3/31/93,3,#N/A N/A
12/31/92,3,#N/A N/A
9/30/92,3,#N/A N/A
6/30/92,3.75,#N/A N/A
3/31/92,4,#N/A N/A
12/31/91,4,#N/A N/A
9/30/91,5.25,#N/A N/A
6/28/91,5.75,#N/A N/A
3/29/91,6,#N/A N/A
12/31/90,7,#N/A N/A
9/28/90,8,#N/A N/A
6/29/90,8.25,#N/A N/A
3/30/90,8.25,#N/A N/A
12/29/89,8.25,#N/A N/A
9/29/89,9,#N/A N/A
6/30/89,9.63,#N/A N/A
3/31/89,9.75,#N/A N/A
12/30/88,8.75,#N/A N/A
9/30/88,8.25,#N/A N/A
6/30/88,7.5,#N/A N/A
3/31/88,6.75,#N/A N/A
12/31/87,6.88,#N/A N/A
