Security,USURTOT  Index                                                  ,
Start Date,12/31/87 0:00,
End Date,9/30/17 0:00,
Period,Q,
,,
Date,PX_LAST,FIRST_REVISION
9/30/17,4.3,#N/A N/A
6/30/17,4.4,#N/A N/A
3/31/17,4.7,#N/A N/A
12/31/16,4.7,#N/A N/A
9/30/16,4.9,#N/A N/A
6/30/16,4.9,#N/A N/A
3/31/16,5,#N/A N/A
12/31/15,5,#N/A N/A
9/30/15,5.1,#N/A N/A
6/30/15,5.4,#N/A N/A
3/31/15,5.6,#N/A N/A
12/31/14,5.7,#N/A N/A
9/30/14,6.1,#N/A N/A
6/30/14,6.2,#N/A N/A
3/31/14,6.6,#N/A N/A
12/31/13,7,#N/A N/A
9/30/13,7.3,#N/A N/A
6/30/13,7.5,#N/A N/A
3/31/13,7.7,#N/A N/A
12/31/12,7.8,#N/A N/A
9/30/12,8,#N/A N/A
6/30/12,8.2,#N/A N/A
3/31/12,8.3,#N/A N/A
12/31/11,8.7,#N/A N/A
9/30/11,9,#N/A N/A
6/30/11,9.1,#N/A N/A
3/31/11,9,8.9
12/31/10,9.5,#N/A N/A
9/30/10,9.5,#N/A N/A
6/30/10,9.7,#N/A N/A
3/31/10,9.8,#N/A N/A
12/31/09,9.9,#N/A N/A
9/30/09,9.6,#N/A N/A
6/30/09,9.3,#N/A N/A
3/31/09,8.3,#N/A N/A
12/31/08,6.9,#N/A N/A
9/30/08,6,#N/A N/A
6/30/08,5.3,#N/A N/A
3/31/08,5,#N/A N/A
12/31/07,4.8,#N/A N/A
9/30/07,4.7,#N/A N/A
6/30/07,4.5,#N/A N/A
3/31/07,4.5,#N/A N/A
12/31/06,4.5,#N/A N/A
9/30/06,4.6,#N/A N/A
6/30/06,4.7,#N/A N/A
3/31/06,4.7,#N/A N/A
12/31/05,5,#N/A N/A
9/30/05,5,#N/A N/A
6/30/05,5.1,#N/A N/A
3/31/05,5.3,#N/A N/A
12/31/04,5.4,#N/A N/A
9/30/04,5.4,#N/A N/A
6/30/04,5.6,#N/A N/A
3/31/04,5.7,#N/A N/A
12/31/03,5.8,#N/A N/A
9/30/03,6.1,#N/A N/A
6/30/03,6.2,#N/A N/A
3/31/03,5.9,#N/A N/A
12/31/02,5.8,#N/A N/A
9/30/02,5.7,#N/A N/A
6/30/02,5.8,#N/A N/A
3/31/02,5.7,#N/A N/A
12/31/01,5.5,#N/A N/A
9/30/01,4.8,#N/A N/A
6/30/01,4.4,#N/A N/A
3/31/01,4.2,#N/A N/A
12/31/00,3.9,#N/A N/A
9/30/00,4,#N/A N/A
6/30/00,3.9,#N/A N/A
3/31/00,4,#N/A N/A
12/31/99,4.1,#N/A N/A
9/30/99,4.2,#N/A N/A
6/30/99,4.3,#N/A N/A
3/31/99,4.3,#N/A N/A
12/31/98,4.4,#N/A N/A
9/30/98,4.5,#N/A N/A
6/30/98,4.4,#N/A N/A
3/31/98,4.6,#N/A N/A
12/31/97,4.7,#N/A N/A
9/30/97,4.9,#N/A N/A
6/30/97,5,#N/A N/A
3/31/97,5.2,#N/A N/A
12/31/96,5.3,#N/A N/A
9/30/96,5.3,#N/A N/A
6/30/96,5.5,#N/A N/A
3/31/96,5.5,#N/A N/A
12/31/95,5.6,#N/A N/A
9/30/95,5.7,#N/A N/A
6/30/95,5.7,#N/A N/A
3/31/95,5.5,#N/A N/A
12/31/94,5.6,#N/A N/A
9/30/94,6,#N/A N/A
6/30/94,6.2,#N/A N/A
3/31/94,6.6,#N/A N/A
12/31/93,6.6,#N/A N/A
9/30/93,6.8,#N/A N/A
6/30/93,7.1,#N/A N/A
3/31/93,7.2,#N/A N/A
12/31/92,7.4,#N/A N/A
9/30/92,7.6,#N/A N/A
6/30/92,7.6,#N/A N/A
3/31/92,7.4,#N/A N/A
12/31/91,7.1,#N/A N/A
9/30/91,6.9,#N/A N/A
6/30/91,6.8,#N/A N/A
3/31/91,6.6,#N/A N/A
12/31/90,6.1,#N/A N/A
9/30/90,5.7,#N/A N/A
6/30/90,5.3,#N/A N/A
3/31/90,5.3,#N/A N/A
12/31/89,5.4,#N/A N/A
9/30/89,5.3,#N/A N/A
6/30/89,5.2,#N/A N/A
3/31/89,5.2,#N/A N/A
12/31/88,5.3,#N/A N/A
9/30/88,5.5,#N/A N/A
6/30/88,5.5,#N/A N/A
3/31/88,5.7,#N/A N/A
12/31/87,5.9,#N/A N/A
